t=50 s=50 time=0.000437
t=50 s=48 time=0.000385
t=50 s=17 time=0.000693
t=50 s=15 time=0.000714
t=50 s=14 time=0.000708
t=50 s=11 time=0.000776
t=50 s=8 time=0.000759
t=50 s=6 time=0.001617
t=50 s=5 time=0.001562
t=50 s=3 time=0.00117
t=51 s=51 time=0.000414
t=51 s=49 time=0.000378
t=51 s=16 time=0.000755
t=51 s=13 time=0.00079
t=51 s=12 time=0.001011
t=51 s=11 time=0.000834
t=51 s=10 time=0.000757
t=51 s=9 time=0.000778
t=51 s=7 time=0.001304
t=51 s=6 time=0.00151
t=51 s=5 time=0.001499
t=51 s=4 time=0.002383
t=52 s=52 time=0.000422
t=52 s=50 time=0.000384
t=52 s=17 time=0.000741
t=52 s=14 time=0.000798
t=52 s=13 time=0.000959
t=52 s=12 time=0.000808
t=52 s=8 time=0.000972
t=52 s=7 time=0.001415
t=52 s=6 time=0.00162
t=52 s=5 time=0.001642
t=52 s=4 time=0.002022
t=53 s=53 time=0.00047
t=53 s=51 time=0.000397
t=53 s=18 time=0.000712
t=53 s=14 time=0.000804
t=53 s=11 time=0.000876
t=53 s=10 time=0.00087
t=53 s=9 time=0.000827
t=53 s=7 time=0.001563
t=53 s=6 time=0.002186
t=53 s=5 time=0.002168
t=54 s=54 time=0.000421
t=54 s=52 time=0.000413
t=54 s=17 time=0.000753
t=54 s=16 time=0.000731
t=54 s=15 time=0.00083
t=54 s=13 time=0.000796
t=54 s=12 time=0.001061
t=54 s=11 time=0.001218
t=54 s=10 time=0.001168
t=54 s=9 time=0.000772
t=54 s=8 time=0.000771
t=54 s=7 time=0.0016
t=54 s=6 time=0.002153
t=54 s=5 time=0.003178
t=54 s=4 time=0.003596
t=55 s=55 time=0.000518
t=55 s=53 time=0.00047
t=55 s=18 time=0.000759
t=55 s=17 time=0.000793
t=55 s=16 time=0.000809
t=55 s=14 time=0.000804
t=55 s=13 time=0.001077
t=55 s=12 time=0.000963
t=55 s=8 time=0.001334
t=55 s=7 time=0.002441
t=55 s=6 time=0.001998
[38;2;000;128;000mTime: 0.248771s (2025-09-28 16:28:08)
[0mt=0 s=0 time=8.7e-05
t=1 s=1 time=0.000317
t=2 s=2 time=0.000287
t=3 s=3 time=0.000296
t=3 s=1 time=0.000268
t=4 s=4 time=0.000255
t=4 s=2 time=0.000274
t=4 s=1 time=0.000274
t=5 s=5 time=0.000254
t=5 s=3 time=0.000312
t=5 s=2 time=0.000265
t=6 s=6 time=0.000269
t=6 s=4 time=0.000332
t=6 s=1 time=0.00028
t=7 s=7 time=0.000264
t=7 s=5 time=0.000297
t=7 s=2 time=0.000316
t=8 s=8 time=0.000304
t=8 s=6 time=0.000328
t=8 s=3 time=0.000352
t=8 s=2 time=0.000304
t=8 s=1 time=0.000386
t=9 s=9 time=0.000363
t=9 s=7 time=0.000439
