t=45 s=8 time=0.000764
t=45 s=7 time=0.00074
t=45 s=5 time=0.00104
t=45 s=4 time=0.001129
t=45 s=3 time=0.001207
t=46 s=46 time=0.000407
t=46 s=42 time=0.000359
t=46 s=15 time=0.000795
t=46 s=14 time=0.000699
t=46 s=12 time=0.000628
t=46 s=11 time=0.000668
t=46 s=6 time=0.001201
t=46 s=5 time=0.000868
t=46 s=4 time=0.001336
t=46 s=3 time=0.001122
t=47 s=47 time=0.000363
t=47 s=43 time=0.000352
t=47 s=16 time=0.000622
t=47 s=15 time=0.000627
t=47 s=13 time=0.000687
t=47 s=12 time=0.000648
t=47 s=6 time=0.000995
t=47 s=5 time=0.001094
t=47 s=4 time=0.001131
t=48 s=48 time=0.000368
t=48 s=44 time=0.000339
t=48 s=13 time=0.000866
t=48 s=12 time=0.000721
t=48 s=11 time=0.00062
t=48 s=10 time=0.000608
t=48 s=9 time=0.000841
t=48 s=8 time=0.000702
t=48 s=7 time=0.001236
t=48 s=6 time=0.001824
t=48 s=5 time=0.001173
t=48 s=4 time=0.001794
t=48 s=3 time=0.001466
t=49 s=49 time=0.000388
t=49 s=45 time=0.00039
t=49 s=16 time=0.000639
t=49 s=14 time=0.000654
t=49 s=8 time=0.001036
t=49 s=7 time=0.001191
t=49 s=5 time=0.001797
t=49 s=4 time=0.002148
t=50 s=50 time=0.000435
t=50 s=46 time=0.000441
t=50 s=17 time=0.000628
t=50 s=15 time=0.000691
t=50 s=14 time=0.000703
t=50 s=10 time=0.000691
t=50 s=9 time=0.000807
t=50 s=8 time=0.001228
t=50 s=7 time=0.000974
t=50 s=6 time=0.001945
t=50 s=5 time=0.002192
t=51 s=51 time=0.000538
t=51 s=47 time=0.000413
t=51 s=16 time=0.000788
t=51 s=15 time=0.000772
t=51 s=14 time=0.00069
t=51 s=13 time=0.00064
t=51 s=12 time=0.000673
t=51 s=11 time=0.000689
t=51 s=10 time=0.000934
t=51 s=9 time=0.001067
t=51 s=6 time=0.001483
t=52 s=52 time=0.000461
t=52 s=48 time=0.000412
t=52 s=18 time=0.000649
t=52 s=17 time=0.000815
t=52 s=15 time=0.000724
t=52 s=11 time=0.000849
