t=36 s=36 time=0.00031
t=36 s=28 time=0.000303
t=36 s=9 time=0.000497
t=36 s=8 time=0.000496
t=36 s=7 time=0.000546
t=36 s=6 time=0.000578
t=36 s=5 time=0.000774
t=36 s=4 time=0.000469
t=36 s=3 time=0.000464
t=36 s=2 time=0.000327
t=37 s=37 time=0.000322
t=37 s=29 time=0.000346
t=37 s=12 time=0.000468
t=37 s=10 time=0.000511
t=37 s=9 time=0.000475
t=37 s=8 time=0.000543
t=37 s=7 time=0.000528
t=37 s=6 time=0.000714
t=37 s=5 time=0.000546
t=37 s=4 time=0.000534
t=37 s=3 time=0.000545
t=38 s=38 time=0.000319
t=38 s=30 time=0.000311
t=38 s=13 time=0.000446
t=38 s=11 time=0.000503
t=38 s=10 time=0.000501
t=38 s=9 time=0.000544
t=38 s=8 time=0.000557
t=38 s=7 time=0.000587
t=38 s=6 time=0.000586
t=38 s=5 time=0.000602
t=38 s=4 time=0.000541
t=39 s=39 time=0.000316
t=39 s=31 time=0.00032
t=39 s=9 time=0.000559
t=39 s=8 time=0.000694
t=39 s=7 time=0.00056
t=40 s=40 time=0.000314
t=40 s=32 time=0.000302
t=40 s=14 time=0.000474
t=40 s=13 time=0.000448
t=40 s=10 time=0.000613
t=40 s=9 time=0.000918
t=40 s=8 time=0.000568
t=40 s=7 time=0.00053
t=40 s=6 time=0.000814
t=40 s=5 time=0.000675
t=40 s=3 time=0.000613
t=40 s=2 time=0.000425
t=41 s=41 time=0.000344
t=41 s=33 time=0.000311
t=41 s=14 time=0.000494
t=41 s=10 time=0.000791
t=41 s=9 time=0.000644
t=41 s=8 time=0.000591
t=41 s=7 time=0.000546
t=41 s=3 time=0.000749
t=42 s=42 time=0.000446
t=42 s=34 time=0.000352
t=42 s=15 time=0.000474
t=42 s=12 time=0.000511
t=42 s=11 time=0.000694
t=42 s=10 time=0.000605
t=42 s=9 time=0.000614
t=42 s=8 time=0.000793
t=42 s=7 time=0.000635
t=42 s=6 time=0.000594
t=42 s=5 time=0.000622
t=42 s=4 time=0.000917
t=42 s=3 time=0.000743
t=43 s=43 time=0.000367
t=43 s=35 time=0.000345
t=43 s=13 time=0.00054
t=43 s=12 time=0.000758
t=43 s=11 time=0.000592
t=43 s=10 time=0.000635
t=43 s=9 time=0.000835
t=43 s=8 time=0.000628
t=43 s=6 time=0.000705
t=43 s=5 time=0.000688
t=43 s=4 time=0.000867
t=44 s=44 time=0.000393
t=44 s=36 time=0.000375
t=44 s=14 time=0.000537
t=44 s=13 time=0.000712
t=44 s=11 time=0.000646
t=44 s=10 time=0.0007
t=44 s=9 time=0.000658
t=44 s=8 time=0.000648
t=44 s=7 time=0.000913
t=44 s=6 time=0.000728
t=44 s=5 time=0.000606
t=44 s=4 time=0.00083
t=44 s=3 time=0.0009
t=44 s=2 time=0.000578
t=45 s=45 time=0.000383
t=45 s=37 time=0.0004
t=45 s=14 time=0.000609
t=45 s=12 time=0.00082
t=45 s=11 time=0.000648
t=45 s=9 time=0.000652
t=45 s=8 time=0.000776
t=45 s=7 time=0.000653
t=45 s=6 time=0.000656
t=45 s=5 time=0.000743
t=45 s=4 time=0.000976
t=45 s=3 time=0.001112
t=46 s=46 time=0.00037
t=46 s=38 time=0.000368
t=46 s=15 time=0.000595
t=46 s=13 time=0.000623
t=46 s=12 time=0.000709
t=46 s=10 time=0.000726
t=46 s=9 time=0.000769
t=46 s=8 time=0.000816
t=46 s=7 time=0.000712
t=46 s=6 time=0.000636
t=46 s=5 time=0.000897
t=46 s=4 time=0.001348
t=47 s=47 time=0.000388
t=47 s=39 time=0.000364
t=47 s=16 time=0.000654
t=47 s=15 time=0.000644
t=47 s=14 time=0.000658
t=47 s=13 time=0.000659
t=47 s=9 time=0.00069
t=47 s=8 time=0.000825
t=47 s=7 time=0.000844
t=48 s=48 time=0.000395
t=48 s=40 time=0.000381
t=48 s=13 time=0.000702
t=48 s=12 time=0.000661
t=48 s=11 time=0.000654
t=48 s=10 time=0.000713
t=48 s=9 time=0.001054
t=48 s=8 time=0.000865
t=48 s=7 time=0.0009
t=48 s=6 time=0.00123
t=48 s=5 time=0.001046
t=48 s=4 time=0.000916
t=48 s=3 time=0.001152
t=49 s=49 time=0.000371
t=49 s=41 time=0.000359
t=49 s=16 time=0.000617
t=49 s=14 time=0.000762
t=49 s=13 time=0.000707
t=49 s=12 time=0.000749
t=49 s=11 time=0.000724
t=49 s=10 time=0.000946
t=49 s=9 time=0.000807
t=49 s=7 time=0.001073
t=49 s=5 time=0.001062
t=50 s=50 time=0.000421
t=50 s=42 time=0.000426
t=50 s=17 time=0.000602
t=50 s=15 time=0.000688
t=50 s=14 time=0.000771
t=50 s=13 time=0.000711
t=50 s=12 time=0.000766
t=50 s=11 time=0.000787
t=50 s=10 time=0.000962
t=50 s=8 time=0.001127
t=50 s=7 time=0.000701
t=50 s=6 time=0.001166
t=50 s=5 time=0.001412
t=50 s=4 time=0.001537
t=50 s=3 time=0.001403
t=51 s=51 time=0.000416
t=51 s=43 time=0.000397
t=51 s=13 time=0.000757
t=51 s=12 time=0.000949
t=51 s=11 time=0.00077
t=51 s=10 time=0.00075
t=51 s=9 time=0.001005
t=51 s=8 time=0.000869
t=51 s=6 time=0.001566
t=51 s=5 time=0.001739
t=51 s=4 time=0.001915
t=52 s=52 time=0.000419
t=52 s=44 time=0.000391
t=52 s=18 time=0.000654
t=52 s=17 time=0.000617
t=52 s=14 time=0.000717
t=52 s=13 time=0.001127
t=52 s=12 time=0.000777
t=52 s=11 time=0.000805
t=52 s=10 time=0.000789
t=52 s=9 time=0.000836
t=52 s=7 time=0.001452
t=52 s=6 time=0.002138
t=52 s=5 time=0.001245
t=52 s=4 time=0.002255
t=53 s=53 time=0.000462
t=53 s=45 time=0.000437
t=53 s=18 time=0.000719
t=53 s=14 time=0.001005
t=53 s=13 time=0.000847
t=53 s=12 time=0.000805
t=53 s=11 time=0.000787
t=53 s=8 time=0.001123
t=53 s=7 time=0.00164
t=53 s=5 time=0.002505
t=53 s=4 time=0.001789
t=54 s=54 time=0.000405
t=54 s=46 time=0.000409
t=54 s=19 time=0.000674
t=54 s=16 time=0.000835
t=54 s=15 time=0.000957
t=54 s=14 time=0.000796
t=54 s=13 time=0.000837
t=54 s=12 time=0.00103
t=54 s=11 time=0.000837
t=54 s=10 time=0.000821
t=54 s=9 time=0.001159
t=54 s=8 time=0.001305
t=54 s=7 time=0.001595
t=54 s=6 time=0.002422
t=54 s=5 time=0.002347
t=54 s=4 time=0.002217
t=55 s=55 time=0.000461
t=55 s=47 time=0.000412
t=55 s=17 time=0.000703
t=55 s=16 time=0.000936
t=55 s=15 time=0.000789
t=55 s=14 time=0.000834
t=55 s=13 time=0.00111
t=55 s=12 time=0.000881
t=55 s=10 time=0.001035
t=55 s=9 time=0.001208
t=55 s=8 time=0.001412
t=55 s=7 time=0.002088
t=55 s=6 time=0.002504
[38;2;000;128;000mTime: 0.243719s (2025-09-28 16:28:08)
[0mt=0 s=0 time=9.2e-05
t=1 s=1 time=0.00037
t=2 s=2 time=0.000317
t=2 s=1 time=0.00029
t=3 s=3 time=0.000335
t=4 s=4 time=0.000407
t=4 s=2 time=0.000491
t=4 s=1 time=0.000338
t=5 s=5 time=0.000333
t=5 s=2 time=0.000425
t=6 s=6 time=0.000266
t=6 s=3 time=0.000289
t=7 s=7 time=0.000282
t=8 s=8 time=0.000285
t=8 s=2 time=0.000261
t=9 s=9 time=0.000279
t=10 s=10 time=0.000267
t=11 s=11 time=0.000278
t=11 s=3 time=0.000256
t=12 s=12 time=0.000254
t=12 s=4 time=0.000261
t=12 s=1 time=0.000278
t=13 s=13 time=0.00029
t=13 s=5 time=0.000268
t=13 s=4 time=0.000266
t=13 s=2 time=0.000327
t=14 s=14 time=0.000281
t=14 s=6 time=0.000285
t=14 s=5 time=0.000285
t=14 s=3 time=0.000299
t=15 s=15 time=0.000369
t=15 s=7 time=0.000349
t=16 s=16 time=0.000383
t=16 s=8 time=0.000346
t=16 s=6 time=0.000309
t=16 s=5 time=0.000269
t=16 s=2 time=0.000295
t=16 s=1 time=0.000271
t=17 s=17 time=0.000278
t=17 s=9 time=0.0003
t=17 s=6 time=0.000321
t=17 s=2 time=0.000278
t=18 s=18 time=0.000279
t=18 s=10 time=0.000394
t=18 s=7 time=0.000304
t=18 s=4 time=0.00028
t=18 s=3 time=0.000331
t=18 s=2 time=0.000386
t=19 s=19 time=0.000374
t=19 s=11 time=0.000361
t=19 s=5 time=0.000286
t=19 s=4 time=0.000331
t=19 s=3 time=0.0003
t=20 s=20 time=0.00029
t=20 s=12 time=0.000291
